##ANIMATION##;;;;;;;;;;
x;x_type;y;y_type;width;width_type;height;height_type;rotation;alpha;image
0;"px";0;"px";0;"%";0;"%";-0.1049291946;0;""
0;"px";0;"px";0;"%";0;"%";-0.1311614933;0;""
0;"px";0;"px";0;"%";0;"%";-0.1573937919;0;""
0;"px";0;"px";0;"%";0;"%";-0.1836260906;0;""
0;"px";0;"px";0;"%";0;"%";-0.2098583893;0;""
0;"px";0;"px";0;"%";0;"%";-0.2360906879;0;""
0;"px";0;"px";0;"%";0;"%";-0.2623229866;0;""
0;"px";0;"px";0;"%";0;"%";-0.2885552852;0;""
0;"px";0;"px";0;"%";0;"%";-0.3147875839;0;""
0;"px";0;"px";0;"%";0;"%";-0.3410198825;0;""
0;"px";0;"px";0;"%";0;"%";-0.3672521812;0;""
0;"px";0;"px";0;"%";0;"%";-0.3934844799;0;""
0;"px";0;"px";0;"%";0;"%";-0.4197167785;0;""
0;"px";0;"px";0;"%";0;"%";-0.4459490772;0;""
0;"px";0;"px";0;"%";0;"%";-0.4721813758;0;""
0;"px";0;"px";0;"%";0;"%";-0.4984136745;0;""
0;"px";0;"px";0;"%";0;"%";-0.5246459731;0;""
0;"px";0;"px";0;"%";0;"%";-0.5508782718;0;""
0;"px";0;"px";0;"%";0;"%";-0.5771105705;0;""
0;"px";0;"px";0;"%";0;"%";-0.6033428691;0;""
0;"px";0;"px";0;"%";0;"%";-0.6295751678;0;""
0;"px";0;"px";0;"%";0;"%";-0.6558074664;0;""
0;"px";0;"px";0;"%";0;"%";-0.6820397651;0;""
0;"px";0;"px";0;"%";0;"%";-0.7082720638;0;""
0;"px";0;"px";0;"%";0;"%";-0.7345043624;0;""
0;"px";0;"px";0;"%";0;"%";-0.7607366611;0;""
0;"px";0;"px";0;"%";0;"%";-0.7869689597;0;""
0;"px";0;"px";0;"%";0;"%";-0.7607366611;0;""
